Protein	Indistinguishable.Proteins	Description
27700	MEGAHIT-MetaBAT2-S962.117_contig_4866398_12		rank: C;F-type H+-transporting ATPase subunit gamma (db=kegg)
27701	MEGAHIT-MetaBAT2-S962.117_contig_4866398_13		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)
27702	MEGAHIT-MetaBAT2-S962.117_contig_4866398_14		rank: C;F-type H+-transporting ATPase subunit delta (db=kegg)
27703	MEGAHIT-MetaBAT2-S962.117_contig_4866398_15		rank: C;F-type H+-transporting ATPase subunit b (db=kegg)
27704	MEGAHIT-MetaBAT2-S962.117_contig_4866398_16		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)
27705	MEGAHIT-MetaBAT2-S962.117_contig_4866398_2		rank: C;D-alanine-D-alanine ligase [EC:6.3.2.4] (db=kegg)
27706	MEGAHIT-MetaBAT2-S962.117_contig_4866398_23		rank: C;uracil phosphoribosyltransferase [EC:2.4.2.9] (db=kegg)
27707	MEGAHIT-MetaBAT2-S962.117_contig_4866398_33		rank: C;arginine:ornithine antiporter / lysine permease (db=kegg)
27708	MEGAHIT-MetaBAT2-S962.117_contig_4866398_35		rank: C;arginine deiminase [EC:3.5.3.6] (db=kegg)
27709	MEGAHIT-MetaBAT2-S962.117_contig_4866398_7		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)
27710	MEGAHIT-MetaBAT2-S962.117_contig_4866400_8		rank: C;GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2] (db=kegg)
27711	MEGAHIT-MetaBAT2-S962.117_contig_4866404_3		rank: D;Domain of unknown function (DUF6933) [PF22016.1] (db=pfam)
27712	MEGAHIT-MetaBAT2-S962.117_contig_4866405_2		rank: C;oleate hydratase [EC:4.2.1.53] (db=kegg)
27713	MEGAHIT-MetaBAT2-S962.117_contig_4866407_10		rank: C;phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] (db=kegg)
27714	MEGAHIT-MetaBAT2-S962.117_contig_4866408_10		rank: C;translation initiation factor IF-2 (db=kegg)
27715	MEGAHIT-MetaBAT2-S962.117_contig_4866408_13		rank: C;transcription termination/antitermination protein NusA (db=kegg)
27716	MEGAHIT-MetaBAT2-S962.117_contig_4866408_19		rank: C;undecaprenyl diphosphate synthase [EC:2.5.1.31] (db=kegg)
27717	MEGAHIT-MetaBAT2-S962.117_contig_4866408_20		rank: C;ribosome recycling factor (db=kegg)
27718	MEGAHIT-MetaBAT2-S962.117_contig_4866408_21		rank: C;uridylate kinase [EC:2.7.4.22] (db=kegg)
27719	MEGAHIT-MetaBAT2-S962.117_contig_4866408_22		rank: C;elongation factor Ts (db=kegg)
27720	MEGAHIT-MetaBAT2-S962.117_contig_4866408_23		rank: C;small subunit ribosomal protein S2 (db=kegg)
27721	MEGAHIT-MetaBAT2-S962.117_contig_4866408_3		rank: C;molecular chaperone DnaK (db=kegg)
27722	MEGAHIT-MetaBAT2-S962.117_contig_4866408_36		rank: C;uncharacterized protein (db=kegg)
27723	MEGAHIT-MetaBAT2-S962.117_contig_4866408_44		rank: C;trigger factor (db=kegg)
27724	MEGAHIT-MetaBAT2-S962.117_contig_4866408_45		rank: C;elongation factor Tu (db=kegg)
27725	MEGAHIT-MetaBAT2-S962.117_contig_4866408_47		rank: C;ribonuclease J [EC:3.1.-.-] (db=kegg)
27726	MEGAHIT-MetaBAT2-S962.117_contig_4866408_48		rank: C;small subunit ribosomal protein S15 (db=kegg)
27727	MEGAHIT-MetaBAT2-S962.117_contig_4866408_49		rank: C;small subunit ribosomal protein S20 (db=kegg)
27728	MEGAHIT-MetaBAT2-S962.117_contig_4866408_59		rank: C;GTP-binding protein (db=kegg)
27729	MEGAHIT-MetaBAT2-S962.117_contig_4866408_62		rank: C;dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)
27730	MEGAHIT-MetaBAT2-S962.117_contig_4866408_63		rank: D;2-oxoacid dehydrogenases acyltransferase (catalytic domain) [PF00198.28];Biotin-requiring enzyme [PF00364.27];e3 binding domain [PF02817.22] (db=pfam)
27731	MEGAHIT-MetaBAT2-S962.117_contig_4866408_64		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25] (db=pfam)
27732	MEGAHIT-MetaBAT2-S962.117_contig_4866408_65		rank: D;Dehydrogenase E1 component [PF00676.25] (db=pfam)
27733	MEGAHIT-MetaBAT2-S962.117_contig_4866409_10		rank: C;phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3] (db=kegg)
27734	MEGAHIT-MetaBAT2-S962.117_contig_4866409_11		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)
27735	MEGAHIT-MetaBAT2-S962.117_contig_4866409_12		rank: C;adenylosuccinate lyase [EC:4.3.2.2] (db=kegg)
27736	MEGAHIT-MetaBAT2-S962.117_contig_4866409_15		rank: C;acetolactate decarboxylase [EC:4.1.1.5] (db=kegg)
27737	MEGAHIT-MetaBAT2-S962.117_contig_4866409_17		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)
27738	MEGAHIT-MetaBAT2-S962.117_contig_4866409_2		rank: C;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (db=kegg)
27739	MEGAHIT-MetaBAT2-S962.117_contig_4866409_4		rank: C;phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] (db=kegg)
27740	MEGAHIT-MetaBAT2-S962.117_contig_4866409_5		rank: C;phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2] (db=kegg)
27741	MEGAHIT-MetaBAT2-S962.117_contig_4866409_8		rank: C;phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3] (db=kegg)
27742	MEGAHIT-MetaBAT2-S962.117_contig_4866411_14		rank: D;Aldo/keto reductase family [PF00248.26] (db=pfam)
27743	MEGAHIT-MetaBAT2-S962.117_contig_4866411_2		rank: C;hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] (db=kegg)
27744	MEGAHIT-MetaBAT2-S962.117_contig_4866412_1		rank: D;E1-E2 ATPase [PF00122.25];haloacid dehalogenase-like hydrolase [PF00702.31] (db=pfam)
27745	MEGAHIT-MetaBAT2-S962.117_contig_4866412_25		rank: C;nucleoside-diphosphate kinase [EC:2.7.4.6] (db=kegg)
27746	MEGAHIT-MetaBAT2-S962.117_contig_4866412_27		rank: C;tryptophanyl-tRNA synthetase [EC:6.1.1.2] (db=kegg)
27747	MEGAHIT-MetaBAT2-S962.117_contig_4866412_34		rank: C;methionyl-tRNA synthetase [EC:6.1.1.10] (db=kegg)
27748	MEGAHIT-MetaBAT2-S962.117_contig_4866412_6		rank: C;osmoprotectant transport system substrate-binding protein (db=kegg)
27749	MEGAHIT-MetaBAT2-S962.117_contig_4866414_10		rank: D;Putative pectate lyase-like adhesive domain [PF20585.3] (db=pfam)
27750	MEGAHIT-MetaBAT2-S962.117_contig_4866414_5		rank: C;NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26] (db=kegg)
27751	MEGAHIT-MetaBAT2-S962.117_contig_4866414_6		rank: C;thioredoxin reductase (NADPH) [EC:1.8.1.9] (db=kegg)
27752	MEGAHIT-MetaBAT2-S962.117_contig_4866415_13		rank: D;Phosphoenolpyruvate carboxykinase [PF01293.25] (db=pfam)
27753	MEGAHIT-MetaBAT2-S962.117_contig_4866415_7		rank: C;HSP20 family protein (db=kegg)
27754	MEGAHIT-MetaBAT2-S962.117_contig_4866416_10		rank: C;1,3-propanediol dehydrogenase [EC:1.1.1.202] (db=kegg)
27755	MEGAHIT-MetaBAT2-S962.117_contig_4866416_11		rank: D;NADPH-dependent FMN reductase [PF03358.20];Flavodoxin-like fold [PF02525.22] (db=pfam)
27756	MEGAHIT-MetaBAT2-S962.117_contig_4866416_16		rank: D;Trypsin-like peptidase domain [PF13365.11];PDZ domain [PF13180.11] (db=pfam)
27757	MEGAHIT-MetaBAT2-S962.117_contig_4866417_19		rank: C;hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] (db=kegg)
27758	MEGAHIT-MetaBAT2-S962.117_contig_4866417_20		rank: C;cell division protease FtsH [EC:3.4.24.-] (db=kegg)
27759	MEGAHIT-MetaBAT2-S962.117_contig_4866417_21		rank: C;molecular chaperone Hsp33 (db=kegg)
27760	MEGAHIT-MetaBAT2-S962.117_contig_4866417_23	MEGAHIT-MetaBAT2-S985.88_contig_2302499_2	rank: C;lysyl-tRNA synthetase, class II [EC:6.1.1.6] (db=kegg)
27761	MEGAHIT-MetaBAT2-S962.117_contig_4866417_3		rank: C;D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13] (db=kegg)
27762	MEGAHIT-MetaBAT2-S962.117_contig_4866418_13		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpL (db=kegg)
27763	MEGAHIT-MetaBAT2-S962.117_contig_4866418_3		rank: C;maltose phosphorylase [EC:2.4.1.8] (db=kegg)
27764	MEGAHIT-MetaBAT2-S962.117_contig_4866418_4		rank: C;maltose/moltooligosaccharide transporter (db=kegg)
27765	MEGAHIT-MetaBAT2-S962.117_contig_4866420_3		rank: C;chromate reductase, NAD(P)H dehydrogenase (quinone) (db=kegg)
27766	MEGAHIT-MetaBAT2-S962.117_contig_4866420_4		rank: C;chromate reductase, NAD(P)H dehydrogenase (quinone) (db=kegg)
27767	MEGAHIT-MetaBAT2-S962.117_contig_4866421_12		rank: D;Sodium/hydrogen exchanger family [PF00999.26];TrkA-C domain [PF02080.26] (db=pfam)
27768	MEGAHIT-MetaBAT2-S962.117_contig_4866421_13		rank: C;dipeptidase [EC:3.4.-.-] (db=kegg)
27769	MEGAHIT-MetaBAT2-S962.117_contig_4866422_1		rank: C;purine nucleoside transport protein (db=kegg)
27770	MEGAHIT-MetaBAT2-S962.117_contig_4866422_11		rank: C;deoxyribose-phosphate aldolase [EC:4.1.2.4] (db=kegg)
27771	MEGAHIT-MetaBAT2-S962.117_contig_4866422_14		rank: C;purine-nucleoside phosphorylase [EC:2.4.2.1] (db=kegg)
27772	MEGAHIT-MetaBAT2-S962.117_contig_4866422_16		rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)
27773	MEGAHIT-MetaBAT2-S962.117_contig_4866422_17		rank: C;two-component system, OmpR family, response regulator (db=kegg)
27774	MEGAHIT-MetaBAT2-S962.117_contig_4866422_2		rank: D;Inosine-uridine preferring nucleoside hydrolase [PF01156.24] (db=pfam)
27775	MEGAHIT-MetaBAT2-S962.117_contig_4866422_9		rank: C;ribosome-binding ATPase (db=kegg)
27776	MEGAHIT-MetaBAT2-S962.117_contig_4866424_6		rank: E
27777	MEGAHIT-MetaBAT2-S962.117_contig_4866424_7		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)
27778	MEGAHIT-MetaBAT2-S962.117_contig_4866425_15		rank: C;choloylglycine hydrolase [EC:3.5.1.24] (db=kegg)
27779	MEGAHIT-MetaBAT2-S962.117_contig_4866425_3		rank: C;glycyl-tRNA synthetase beta chain [EC:6.1.1.14] (db=kegg)
27780	MEGAHIT-MetaBAT2-S962.117_contig_4866425_9		rank: C;phosphate starvation-inducible protein PhoH and related proteins (db=kegg)
27781	MEGAHIT-MetaBAT2-S962.117_contig_4866426_11		rank: E
27782	MEGAHIT-MetaBAT2-S962.117_contig_4866426_9	MEGAHIT-MetaBAT2-S985.88_contig_2302512_3	rank: C;Fe-S cluster assembly protein SufB (db=kegg)
27783	MEGAHIT-MetaBAT2-S962.117_contig_4866428_2		rank: C;glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] (db=kegg)
27784	MEGAHIT-MetaBAT2-S962.117_contig_4866428_3		rank: C;6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (db=kegg)
27785	MEGAHIT-MetaBAT2-S962.117_contig_4866428_5		rank: C;lactose/raffinose/galactose permease (db=kegg)
27786	MEGAHIT-MetaBAT2-S962.117_contig_4866430_15		rank: C;thioredoxin (db=kegg)
27787	MEGAHIT-MetaBAT2-S962.117_contig_4866430_2		rank: C;translational activator of cytochrome c oxidase 1 (db=kegg)
27788	MEGAHIT-MetaBAT2-S962.117_contig_4866430_21		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)
27789	MEGAHIT-MetaBAT2-S962.117_contig_4866430_24		rank: C;preprotein translocase subunit YajC (db=kegg)
27790	MEGAHIT-MetaBAT2-S962.117_contig_4866430_4		rank: C;LacI family transcriptional regulator, galactose operon repressor (db=kegg)
27791	MEGAHIT-MetaBAT2-S962.117_contig_4866433_5		rank: C;5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104] (db=kegg)
27792	MEGAHIT-MetaBAT2-S962.117_contig_4866433_9		rank: C;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16] (db=kegg)
27793	MEGAHIT-MetaBAT2-S962.117_contig_4866436_6		rank: C;LemA protein (db=kegg)
27794	MEGAHIT-MetaBAT2-S962.117_contig_4866437_3		rank: C;P-type Cu+ transporter [EC:7.2.2.8] (db=kegg)
27795	MEGAHIT-MetaBAT2-S962.117_contig_4866440_28		rank: E
27796	MEGAHIT-MetaBAT2-S962.117_contig_4866441_1		rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)
27797	MEGAHIT-MetaBAT2-S962.117_contig_4866441_2		rank: E
27798	MEGAHIT-MetaBAT2-S962.117_contig_4866442_10		rank: C;proton-dependent oligopeptide transporter, POT family (db=kegg)
27799	MEGAHIT-MetaBAT2-S962.117_contig_4866442_30		rank: C;bleomycin hydrolase [EC:3.4.22.40] (db=kegg)
27800	MEGAHIT-MetaBAT2-S962.117_contig_4866442_31		rank: C;ribose 5-phosphate isomerase A [EC:5.3.1.6] (db=kegg)
27801	MEGAHIT-MetaBAT2-S962.117_contig_4866442_42	MEGAHIT-MetaBAT2-S985.88_contig_2302472_20, group8_bins.266_contig_244900_8	rank: C;large subunit ribosomal protein L11 (db=kegg)
27802	MEGAHIT-MetaBAT2-S962.117_contig_4866442_43		rank: C;large subunit ribosomal protein L1 (db=kegg)
27803	MEGAHIT-MetaBAT2-S962.117_contig_4866443_2		rank: C;maltose/moltooligosaccharide transporter (db=kegg)
27804	MEGAHIT-MetaBAT2-S962.117_contig_4866444_11		rank: C;small subunit ribosomal protein S13 (db=kegg)
27805	MEGAHIT-MetaBAT2-S962.117_contig_4866444_12	MEGAHIT-MetaBAT2-S973.125_contig_3453383_26, MEGAHIT-MetaBAT2-S985.88_contig_2302445_12	rank: C;large subunit ribosomal protein L36 (db=kegg)
27806	MEGAHIT-MetaBAT2-S962.117_contig_4866444_14	MEGAHIT-MetaBAT2-S985.88_contig_2302445_14	rank: C;adenylate kinase [EC:2.7.4.3] (db=kegg)
27807	MEGAHIT-MetaBAT2-S962.117_contig_4866444_15	MEGAHIT-MetaBAT2-S985.88_contig_2302445_15	rank: C;preprotein translocase subunit SecY (db=kegg)
27808	MEGAHIT-MetaBAT2-S962.117_contig_4866444_16	MEGAHIT-MetaBAT2-S985.88_contig_2302445_16	rank: C;large subunit ribosomal protein L15 (db=kegg)
27809	MEGAHIT-MetaBAT2-S962.117_contig_4866444_17		rank: C;large subunit ribosomal protein L30 (db=kegg)
27810	MEGAHIT-MetaBAT2-S962.117_contig_4866444_18		rank: C;small subunit ribosomal protein S5 (db=kegg)
27811	MEGAHIT-MetaBAT2-S962.117_contig_4866444_19		rank: C;large subunit ribosomal protein L18 (db=kegg)
27812	MEGAHIT-MetaBAT2-S962.117_contig_4866444_2		rank: C;small subunit ribosomal protein S9 (db=kegg)
27813	MEGAHIT-MetaBAT2-S962.117_contig_4866444_20		rank: C;large subunit ribosomal protein L6 (db=kegg)
27814	MEGAHIT-MetaBAT2-S962.117_contig_4866444_21	MEGAHIT-MetaBAT2-S985.88_contig_2302445_21	rank: C;small subunit ribosomal protein S8 (db=kegg)
27815	MEGAHIT-MetaBAT2-S962.117_contig_4866444_22		rank: C;large subunit ribosomal protein L5 (db=kegg)
27816	MEGAHIT-MetaBAT2-S962.117_contig_4866444_24		rank: C;large subunit ribosomal protein L14 (db=kegg)
27817	MEGAHIT-MetaBAT2-S962.117_contig_4866444_25		rank: C;small subunit ribosomal protein S17 (db=kegg)
27818	MEGAHIT-MetaBAT2-S962.117_contig_4866444_27		rank: C;large subunit ribosomal protein L16 (db=kegg)
27819	MEGAHIT-MetaBAT2-S962.117_contig_4866444_28		rank: C;small subunit ribosomal protein S3 (db=kegg)
27820	MEGAHIT-MetaBAT2-S962.117_contig_4866444_29		rank: C;large subunit ribosomal protein L22 (db=kegg)
27821	MEGAHIT-MetaBAT2-S962.117_contig_4866444_3		rank: C;large subunit ribosomal protein L13 (db=kegg)
27822	MEGAHIT-MetaBAT2-S962.117_contig_4866444_30		rank: C;small subunit ribosomal protein S19 (db=kegg)
27823	MEGAHIT-MetaBAT2-S962.117_contig_4866444_31		rank: C;large subunit ribosomal protein L2 (db=kegg)
27824	MEGAHIT-MetaBAT2-S962.117_contig_4866444_32	MEGAHIT-MetaBAT2-S985.88_contig_2302445_32	rank: C;large subunit ribosomal protein L23 (db=kegg)
27825	MEGAHIT-MetaBAT2-S962.117_contig_4866444_33		rank: C;large subunit ribosomal protein L4 (db=kegg)
27826	MEGAHIT-MetaBAT2-S962.117_contig_4866444_34		rank: C;large subunit ribosomal protein L3 (db=kegg)
27827	MEGAHIT-MetaBAT2-S962.117_contig_4866444_35		rank: C;small subunit ribosomal protein S10 (db=kegg)
27828	MEGAHIT-MetaBAT2-S962.117_contig_4866444_36		rank: C;elongation factor G (db=kegg)
27829	MEGAHIT-MetaBAT2-S962.117_contig_4866444_37		rank: C;small subunit ribosomal protein S7 (db=kegg)
27830	MEGAHIT-MetaBAT2-S962.117_contig_4866444_38	MEGAHIT-MetaBAT2-S985.88_contig_2302445_40	rank: C;small subunit ribosomal protein S12 (db=kegg)
27831	MEGAHIT-MetaBAT2-S962.117_contig_4866444_41		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)
27832	MEGAHIT-MetaBAT2-S962.117_contig_4866444_42		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)
27833	MEGAHIT-MetaBAT2-S962.117_contig_4866444_46		rank: C;alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] (db=kegg)
27834	MEGAHIT-MetaBAT2-S962.117_contig_4866444_61		rank: C;aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1] (db=kegg)
27835	MEGAHIT-MetaBAT2-S962.117_contig_4866444_66		rank: C;ribonuclease J [EC:3.1.-.-] (db=kegg)
27836	MEGAHIT-MetaBAT2-S962.117_contig_4866444_8		rank: C;large subunit ribosomal protein L17 (db=kegg)
27837	MEGAHIT-MetaBAT2-S962.117_contig_4866444_9		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
27838	MEGAHIT-MetaBAT2-S962.117_contig_4866445_1		rank: E
27839	MEGAHIT-MetaBAT2-S962.117_contig_4866445_10		rank: C;large subunit ribosomal protein L10 (db=kegg)
27840	MEGAHIT-MetaBAT2-S962.117_contig_4866445_6		rank: C;large conductance mechanosensitive channel (db=kegg)
27841	MEGAHIT-MetaBAT2-S962.117_contig_4866445_9		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
27842	MEGAHIT-MetaBAT2-S962.117_contig_4866446_9		rank: D;B3/4 domain [PF03483.22] (db=pfam)
27843	MEGAHIT-MetaBAT2-S962.117_contig_4866447_1		rank: C;meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304] (db=kegg)
27844	MEGAHIT-MetaBAT2-S962.117_contig_4866447_3		rank: C;xanthine phosphoribosyltransferase [EC:2.4.2.22] (db=kegg)
27845	MEGAHIT-MetaBAT2-S962.117_contig_4866447_5		rank: C;ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4] (db=kegg)
27846	MEGAHIT-MetaBAT2-S962.117_contig_4866447_9		rank: C;aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7] (db=kegg)
27847	MEGAHIT-MetaBAT2-S962.117_contig_4866449_4		rank: C;bleomycin hydrolase [EC:3.4.22.40] (db=kegg)
27848	MEGAHIT-MetaBAT2-S962.117_contig_4866450_12		rank: D;Flavodoxin [PF00258.30];NrdI Flavodoxin like [PF07972.16];Flavodoxin domain [PF12724.12] (db=pfam)
27849	MEGAHIT-MetaBAT2-S962.117_contig_4866451_1		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
27850	MEGAHIT-MetaBAT2-S962.117_contig_4866451_11		rank: E
27851	MEGAHIT-MetaBAT2-S962.117_contig_4866451_13		rank: C;phosphate acetyltransferase [EC:2.3.1.8] (db=kegg)
27852	MEGAHIT-MetaBAT2-S962.117_contig_4866451_18		rank: C;UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (db=kegg)
27853	MEGAHIT-MetaBAT2-S962.117_contig_4866451_2		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
27854	MEGAHIT-MetaBAT2-S962.117_contig_4866451_4		rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)
27855	MEGAHIT-MetaBAT2-S962.117_contig_4866452_9		rank: C;naphthoate synthase [EC:4.1.3.36] (db=kegg)
27856	MEGAHIT-MetaBAT2-S962.117_contig_4866453_2		rank: C;dipeptidase [EC:3.4.-.-] (db=kegg)
27857	MEGAHIT-MetaBAT2-S962.117_contig_4866453_5		rank: C;D-lactate dehydrogenase [EC:1.1.1.28] (db=kegg)
27858	MEGAHIT-MetaBAT2-S962.117_contig_4866455_10		rank: C;glycoside/pentoside/hexuronide:cation symporter, GPH family (db=kegg)
27859	MEGAHIT-MetaBAT2-S962.117_contig_4866455_11		rank: D;Glycoside hydrolase 120, insertion domain [PF21258.2];Protein of unknown function (DUF1565) [PF07602.16] (db=pfam)
27860	MEGAHIT-MetaBAT2-S962.117_contig_4866457_2		rank: C;putative ABC transport system ATP-binding protein (db=kegg)
27861	MEGAHIT-MetaBAT2-S962.117_contig_4866457_6		rank: D;Alcohol dehydrogenase GroES-like domain [PF08240.17];Glucose dehydrogenase C-terminus [PF16912.10] (db=pfam)
27862	MEGAHIT-MetaBAT2-S962.117_contig_4866457_9		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)
27863	MEGAHIT-MetaBAT2-S962.15_contig_5442061_2	MEGAHIT-MetaBAT2-S974.62_contig_6914348_4	rank: C;citrate (Re)-synthase [EC:2.3.3.3] (db=kegg)
27864	MEGAHIT-MetaBAT2-S962.15_contig_5442072_3		rank: D;Periplasmic binding protein domain [PF13407.11];Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26] (db=pfam)
27865	MEGAHIT-MetaBAT2-S962.15_contig_5442072_4		rank: C;galactofuranose transport system ATP-binding protein [EC:7.5.2.9] (db=kegg)
27866	MEGAHIT-MetaBAT2-S962.15_contig_5442075_19		rank: C;GntR family transcriptional regulator (db=kegg)
27867	MEGAHIT-MetaBAT2-S962.15_contig_5442075_8		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)
27868	MEGAHIT-MetaBAT2-S962.15_contig_5442085_14		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)
27869	MEGAHIT-MetaBAT2-S962.15_contig_5442088_4		rank: C;small subunit ribosomal protein S9 (db=kegg)
27870	MEGAHIT-MetaBAT2-S962.15_contig_5442092_21		rank: C;elongation factor Tu (db=kegg)
27871	MEGAHIT-MetaBAT2-S962.15_contig_5442096_11		rank: C;ribosome hibernation promoting factor (db=kegg)
27872	MEGAHIT-MetaBAT2-S962.15_contig_5442096_8		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)
27873	MEGAHIT-MetaBAT2-S962.15_contig_5442097_2		rank: E
27874	MEGAHIT-MetaBAT2-S962.15_contig_5442106_20		rank: C;small subunit ribosomal protein S1 (db=kegg)
27875	MEGAHIT-MetaBAT2-S962.15_contig_5442106_30		rank: D;Carboxyl transferase domain [PF01039.27] (db=pfam)
27876	MEGAHIT-MetaBAT2-S962.15_contig_5442106_47		rank: E
27877	MEGAHIT-MetaBAT2-S962.15_contig_5442106_49		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
27878	MEGAHIT-MetaBAT2-S962.15_contig_5442116_4		rank: C;raffinose/stachyose/melibiose transport system substrate-binding protein (db=kegg)
27879	MEGAHIT-MetaBAT2-S962.15_contig_5442126_15		rank: C;large subunit ribosomal protein L5 (db=kegg)
27880	MEGAHIT-MetaBAT2-S962.15_contig_5442126_22		rank: C;large subunit ribosomal protein L15 (db=kegg)
27881	MEGAHIT-MetaBAT2-S962.15_contig_5442126_3		rank: C;large subunit ribosomal protein L3 (db=kegg)
27882	MEGAHIT-MetaBAT2-S962.15_contig_5442126_32		rank: C;large subunit ribosomal protein L17 (db=kegg)
27883	MEGAHIT-MetaBAT2-S962.15_contig_5442131_6		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
27884	MEGAHIT-MetaBAT2-S962.15_contig_5442131_8		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
27885	MEGAHIT-MetaBAT2-S962.15_contig_5442133_7		rank: D;Divergent InlB B-repeat domain [PF18998.5] (db=pfam)
27886	MEGAHIT-MetaBAT2-S962.15_contig_5442134_13		rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)
27887	MEGAHIT-MetaBAT2-S962.15_contig_5442145_5		rank: E
27888	MEGAHIT-MetaBAT2-S962.15_contig_5442149_2		rank: C;molecular chaperone DnaK (db=kegg)
27889	MEGAHIT-MetaBAT2-S962.15_contig_5442150_2		rank: E
27890	MEGAHIT-MetaBAT2-S962.15_contig_5442151_3		rank: C;basic membrane protein A and related proteins (db=kegg)
27891	MEGAHIT-MetaBAT2-S962.15_contig_5442166_1		rank: C;carbon starvation protein (db=kegg)
27892	MEGAHIT-MetaBAT2-S962.15_contig_5442176_3		rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)
